name_1,name_2,true,pred_0,pred_1,pred_2,prob,pred
blr0512,blr0513,1,1.0,1,1,1.0,1
blr0513,blr0514,1,1.0,1,1,1.0,1
blr0514,blr0515,1,1.0,1,1,1.0,1
blr1720,blr1721,1,1.0,1,1,1.0,1
blr2036,blr2037,1,0.0,0,0,0.0,0
blr2763,blr2764,1,1.0,1,1,1.0,1
blr2764,bsr2765,1,1.0,1,1,1.0,1
bsr2765,blr2766,1,1.0,1,1,1.0,1
blr2766,blr2767,0,1.0,1,1,1.0,1
blr2767,blr2768,1,1.0,1,1,1.0,1
blr2768,blr2769,1,1.0,1,1,1.0,1
blr2769,bsr2770,1,,1,1,0.49,0
blr5226,blr5227,1,1.0,1,1,1.0,1
blr5230,blr5231,1,0.0,0,0,0.0,0
blr5231,blr5233,0,0.0,0,0,0.0,0
blr5233,blr5234,1,0.0,1,0,0.3333333333333333,0
blr5234,blr5235,1,1.0,1,1,1.0,1
